DB00114	Pyridoxal Phosphate	D00006	C00018	66	Q9BYV1	Q99259	P35520	Q16719	P34896	Q9Y697	P17174	P04181	P11926	Q8N5Z0	P80404	Q9NVS9	O95470	P17735	Q16773	Q8IYQ7	P06737	O15270	Q9Y600	P19113	Q96A70	P20132	O75600	P23378	P24298	Q9Y617	P13196	P21549	Q96GD0	O15269	P32929	P54687	O15382	O94903	O95954	P00505	P11216	P11217	P20711	P34897	Q2TU84	Q49AK1	Q53ET4	Q59FK2	Q59GM9	Q59HE2	Q5JAM2	Q5VZ30	Q6IBS8	Q6P996	Q6YP21	Q6ZQY3	Q96I15	Q6WRI0	Q8IUZ5	Q8IVA8	Q8TD30	Q96EN8	Q96GA7	Q96JQ3	Q9BXA1	Q9GZT4	Q9HD40	Q9NUV7	Q9UGI5	Q9UJX1				
DB00116	Tetrahydrofolic acid		C00101	12	P11586	P13995	P48728	O75891	Q99707	O95954	P31939	P34896	P34897	P42898	Q53ET4	Q96DP5																																																										
DB00117	L-Histidine	D00032	C00135	4	P19113	P12081	Q99624	P42357																																																																		
DB00118	S-Adenosylmethionine		C00019	6	Q14749	P17707	P31153	P35520	Q00266	P21964																																																																
DB00120	L-Phenylalanine	D00021	C00079	7	P17735	Q9UHI5	Q9Y285	P00439	O95363	Q9NSD9	P07101																																																															
DB00121	Biotin	D00029	C00120	9	P05166	P50747	Q9Y289	Q9HCC0	O00763	Q96RQ3	P11498	P05165	Q13085																																																													
DB00122	Choline		C00114	7	Q9Y5K3	P22303	P49585	O14939	P06276	Q13393	Q8TCT1																																																															
DB00123	L-Lysine	D02304	C00047	5	P30825	O43246	Q8WY07	P52569	Q15046																																																																	
DB00125	L-Arginine	D02982	C00062	9	P29474	Q8WY07	Q96A70	P04424	P35228	P30825	P78540	O43246	P00966																																																													
DB00126	Vitamin C	D00018	C00072	23	P09848	O00469	O14832	O60568	O75936	P09172	P19021	P13674	Q32P28	Q6N063	Q6NS38	Q8IVL5	Q8IVL6	Q8N543	Q96KS0	Q96Q83	Q9BY66	Q9GZT9	Q9UHI7	Q02809	Q9H6Z9	Q9NVH6	Q9NXG6																																															
DB00127	Spermine		C00750	3	P52788	Q9NWM0	P11926																																																																			
DB00128	L-Aspartic Acid	D00013	C00049	22	P07998	P61626	Q9UJS0	P17174	P45381	P08243	P00966	Q03154	P00505	P14868	O75746	Q12797	P22234	P27708	P30520	P43005	Q2TU84	Q5T6L4	Q6PI48	Q7L266	Q8N142	Q96HD9																																																
DB00129	L-Ornithine		C01602	14	P04181	P00480	P05089	P54368	P52569	Q9BXI2	O43246	P30825	P78540	Q9Y619	Q8WY07	O95190	P50440	Q9UMX2																																																								
DB00130	L-Glutamine	D00015	C00064	3	P17812	Q06203	P15104																																																																			
DB00131	Adenosine monophosphate	D02769	C00020	15	P16220	P11309	Q07343	P06737	Q9Y478	P49773	Q08499	Q9NUB1	Q9NR19	Q13131	O43741	Q08828	P33121	P09467	P55263																																																							
DB00132	Alpha-Linolenic Acid		C06427	5	O60427	O95864	P32418	Q8NER1	Q9GZR5																																																																	
DB00133	L-Serine	D00016	C00065	7	P35520	P20132	Q9GZT4	O15270	O15269	P49591	P21549																																																															
DB00134	L-Methionine	D04983	C01733	5	Q9UBK8	Q99707	P50579	Q93088	Q9H2M3																																																																	
DB00135	L-Tyrosine		C01536	4	P07101	Q9Y2Z4	P54577	P17735																																																																		
DB00136	Calcitriol	D00129	C01673	1	P11473																																																																					
DB00138	L-Cystine	D03636	C00491	4	Q9UPY5	O60931	P82251	Q07837																																																																		
DB00139	Succinic acid		C00042	26	Q99643	Q9BXA5	Q9BYC2	Q9NVH6	Q9P2R7	Q9UBX3	P31040	O14756	Q8WWT9	Q13183	Q9BZW2	Q96I99	O14521	O15460	O60568	O75936	P13674	P21912	P51649	P53597	P55809	Q02809	Q12797	Q32P28	Q8IVL5	Q8IVL6																																												
DB00140	Riboflavin	D00050	C00255	2	Q969G6	P30043																																																																				
DB00141	N-Acetyl-D-glucosamine		C00140	8	O60512	O60513	O60909	Q9UJ70	Q9UK23	P54802	P51606	P15291																																																														
DB00142	L-Glutamic Acid	D00007	C00025	70	Q13255	Q14833	Q16099	Q16478	Q14831	O00222	O00341	O14841	O15067	O15382	O15399	O43424	O60391	O75879	O94925	P00505	P07814	P08243	P15104	P17174	P17735	P24298	P38435	P43003	P43004	P43005	P48506	P48664	P49448	P49915	P54687	P80404	Q05586	Q05932	Q07075	Q12879	Q13224	Q14957	Q2TU84	Q5JPH6	Q5TDP6	Q6IA69	Q6YP21	Q8N159	Q8N5Z0	Q8TCU5	Q8TD30	Q9H1K4	Q9H936	Q9UDR5	Q9UI32	Q9ULA0	Q9ULK0	Q9UPY5	Q9Y646	Q9Y617	P00367	P39086	P42261	P48507	Q04609	Q05329	Q99259	O95954	P42262	P42263	P48058	P54886	Q13002	Q13003
DB00143	Glutathione	D00014	C00051	39	O14880	O60760	O95881	P08263	P09210	P10620	P10768	P19440	P28161	P35754	P36969	P46439	P59796	Q16775	Q6NSD4	Q8TED1	Q96SL4	Q99735	Q9H4Y5	Q9NS18	Q04760	Q16873	P00390	P48637	P09488	Q9Y2Q3	Q16772	P21266	O15217	Q03013	Q7RTV2	P09211	P78417	P07203	P18283	P30711	O43708	O75715	P22352																															
DB00144	Phosphatidylserine			10	P49619	Q16760	Q9BVG9	Q9NXE4	Q9NY59	Q9Y2Q0	P17252	P48651	Q9UG56	Q8WTV0																																																												
DB00146	Calcidiol		C01561	1	P11473																																																																					
DB00147	Pyridoxal		C00250	1	O00764																																																																					
DB00148	Creatine		C00300	6	P06732	P12532	P12277	P17540	P48029	Q14353																																																																
DB00149	L-Leucine			6	Q15031	O15382	P54687	O60294	Q9UIC8	Q9P2J5																																																																
DB00150	L-Tryptophan	D00020	C00078	2	Q9UGM6	P23381																																																																				
DB00151	L-Cysteine	D00026	C00097	14	P48507	P48506	Q16857	P17174	P32929	P35520	P49589	P16455	P48637	Q9BZV2	Q9HA77	Q9Y600	Q9Y697	Q16878																																																								
DB00152	Thiamine		C00378	2	Q9H3S4	O60779																																																																				
DB00153	Ergocalciferol	D00187	C05441	1	P11473																																																																					
DB00154	Dihomo-gamma-linolenic acid		C03242	2	P23219	P35354																																																																				
DB00155	L-Citrulline		C00327	13	P00966	O95865	Q5T6L4	O94760	P00480	P29475	P35228	P29474	Q6TGC4	Q9ULC6	Q9ULW8	Q9Y2J8	Q9UM07																																																									
DB00156	L-Threonine	D00041	C00188	3	Q8IYQ7	P26639	Q9BW92																																																																			
DB00158	Folic Acid	D00070	C00504	2	P14207	P41439																																																																				
DB00159	Icosapent	D08061	C06428	10	P35354	P23219	P37231	Q03181	O60427	O60488	O95573	O14842	P32418	Q8NER1																																																												
DB00161	L-Valine	D00039	C00183	3	P05166	P54687	P26640																																																																			
DB00162	Vitamin A	D00069	C00473	16	Q96NR8	O75911	P47895	Q6NUM9	Q8TC12	Q9BTZ2	Q9HBH5	Q9NYR8	O95237	P09455	Q92781	Q8NBN7	P10745	O94788	P00352	P12271																																																						
DB00163	Vitamin E		C02477	10	O75469	P05771	P09917	P17252	P23743	P62714	P67775	Q9UDX3	Q9UDX4	O76054																																																												
DB00165	Pyridoxine		C00314	1	O00764																																																																					
DB00166	Lipoic Acid	D00086	C00725	3	Q9Y234	O43766	Q9Y289																																																																			
DB00167	L-Isoleucine	D00065	C00407	5	Q9NSE4	P45954	P54687	O15382	P41252																																																																	
DB00168	Aspartame	D02381	C11045	2	Q8NER1	Q8TE23																																																																				
DB00169	Cholecalciferol	D00188	C05443	1	P11473																																																																					
DB00170	Menadione	D02335	C05377	13	P38435	Q9BQB6	Q8N0U8	P00734	P08709	P00740	P00742	P04070	P07225	P22891	P16083	P15559	P02818																																																									
DB00171	Adenosine triphosphate		C00002	33	P42684	P08183	P45844	Q92887	O95477	Q9NR19	Q9UM73	Q13564	Q13131	P10398	P37023	P33121	P49902	O43681	O60706	P31749	P25098	O14727	Q9NUB1	P36896	Q04771	O95342	P08243	Q96Q40	P12235	Q09428	P00966	Q9Y4W6	P35626	Q16671	Q07912	P00519	Q08828																																					
