Alosetron	DB00969
Amineptine	DB04836
Aderall	DB00182
Cerivastatin	DB00439
Chlormezanone	DB01178
clorofex	DB00631
dexfenfluramine	DB01191
propoxyphene	DB00647
zimelidine	DB04832
dofetilide	DB00204
encainide	DB01288
etretinate	DB00926
fenfluramine	DB00574
fenoterol	DB01288
ketorolac	DB00465
levomethadyl	DB01227
metipranolol	DB01214
minaprine	DB00805
Astemizole	DB00637
oxyphenbutazone	DB03585
Bithionol	DB04813
pergolide	DB01186
perhexilene	DB01074
phenacetin	DB03783
phenformin	DB00914
phenolphtalein	DB04824
diethylstilbestrol	DB00255
phenylpropanolamine	DB00397
prenylamine	DB04825
remoxipride	DB00409
rimodabant	DB06155
vioxx	DB00533
rosiglitazone	DB00412
sertindole	DB06144
subitramine	DB01105
sparfloxacin	DB01208
suprofen	DB00870
tegazerod	DB01079
terfenadine	DB00342
thalidomide	DB01041
thioridazine	DB00679
triazolam	DB00897
valdecoxib	DB00580
zimelidine	DB04832
zomepirac	DB04828
